exam_no,exam_label,question_no,has_answer,invalid,flags,question_head
19,第19回,1,False,False,表・図・計算確認,2007年公開された「隔離予防のためのCDCガイドライン」における標準予防策に関する記載で正しいのはどれか。
19,第19回,2,False,False,,ワクチン接種に関する誤っているのはどれか。
19,第19回,3,False,False,,"消毒・滅菌に関する説明で正しい組み合わせはどれか。
日本においてクロルヘキシジングルコン酸塩は、結膜嚢を含む粘膜への使用が禁止されている。
グルタラールと過酢酸"
19,第19回,4,False,False,,感染症に係る法律および診療報酬に関する説明で誤っているのはどれか。
19,第19回,5,False,False,抽出崩れ候補,化学療法薬と作用機序の組み合わせで、正しい組み合わせはどれか。 a.ペニシリン系薬・・・・・・核酸合成阻害 b.マクロライド系薬・・・・・リボソーム50S親和性
19,第19回,6,False,False,,"2002年に公開された「血管内カテーテル由来感染予防のためのCDCガイドライ
ン」に記載されている血流感染予防策で正しいのはどれか。"
19,第19回,7,False,False,,"検体採取に関する説明で正しい組み合わせはどれか。
Miller&Jonesの分類とは、喀痰の肉眼的評価の基準である。
感染症の診断に用いるペア血清は、発病後早期"
19,第19回,8,False,False,表・図・計算確認,"耐性菌に関する説明で正しい組み合わせはどれか
a.　感染症法におけるメチシリン耐性黄色ブドウ球菌の検査での判定基準は、オキサシリンのMICが16μｇ/ｍｌ以上、"
19,第19回,9,False,False,表・図・計算確認,2008年に公開された「消化器内視鏡の洗浄・消毒マルチソサイエティガイドライン（消化器内視鏡の洗浄・消毒マルチソサイエティガイドライン作成委員会）」に記載されて
19,第19回,10,False,False,抽出崩れ候補,"ウイルスによって引き起こされる感染症の組み合わせはどれか。 a.マラリア b.百日咳 c.デング熱 d.天然痘 a,b 2.a,b 3.b,c 4.c,d"
19,第19回,11,False,False,,"マイコプラズマ肺炎で入院した患者への対応で正しい組み合わせはどれか。
マイコプラズマ肺炎は、感染症法において五類感染症全数把握疾患に指定されているため、診断した"
19,第19回,12,False,False,,"感染症疫学の用語に関する説明で正しい組み合わせはどれか。
ある時点で、あるリスク集団において存在する症例数の割合を有病率(Prevalence rate)という"
19,第19回,13,False,False,,"ファシテティマネジメントに関する説明で正しい組み合わせはどれか。
2004年に公開された日本医療福祉設備協会規格「病院空調設備の設計・管理指針」において、手術手"
19,第19回,14,False,False,,2008年に公開された「透析医療における標準的な透析操作と院内感染予防に関するマニュアル（三訂版）」に記載されている内容で誤っているのはどれか。
19,第19回,15,False,False,,"HIV感染症に関する説明で正しい組み合わせはどれか。
HIVに感染後、一般的に6～8週間は血液中でHIVが増殖するが、HIV抗体は検出できない。
厚生労働省のA"
19,第19回,16,False,False,,"2009年に公開された「カテーテル関連尿路感染の予防のためのCDCガイドライ
ン」において記載されている内容で正しいのはどれか。"
19,第19回,17,False,False,,"ワクチン接種に関する説明で正しい組み合わせはどれか。
厚生労働省はHBe抗原陽性の母親から生まれた児には、高力価HBsヒト免疫グロブリン（HBIG）を出生後でき"
19,第19回,18,False,False,,小児病棟における感染予防策に関する説明で正しいのはどれ。
19,第19回,19,False,False,,"感染症に関する説明で正しい組み合わせはどれか。
a．2007年に公開された「隔離予防策のためのCDCガイドライン」では、疥癬の患者に対して、適切な治療開始後24"
19,第19回,20,False,False,,2008年に公開された「CDC医療施設における消毒と滅菌のガイドライン」において記載されている内容で正しい組み合わせはどれか。 Clostridium diff
19,第19回,21,False,False,,"多剤耐性緑膿菌に関する説明で正しい組み合わせはどれか。
a.1999～2008年の各年において、感染症の予防および感染症の患者に対する医療に関する法律（感染症法"
19,第19回,22,False,False,,患者C氏に行う必要がある対応で正しいのはどれか。
19,第19回,23,False,False,,"患者C氏に対して行う必要がある具体的な感染予防策で正しい組み合わせはどれか。
C氏の病室に入室する医療従事者は、手袋および状況に応じてガウンを着用する。
C氏の"
19,第19回,24,False,False,,"B病棟において、感染予防のために今後行う必要がある改善策で正しい組み合わせはどれか。
a．畜尿に伴う交差感染予防のために自動畜尿装置を導入する。
b．尿道留置カ"
19,第19回,25,False,False,抽出崩れ候補 / 選択肢に長文混入 / 文字化け候補 / 表・図・計算確認,インフルエンザウイルスに関する記載で正しいのはどれか。
19,第19回,26,False,False,,"12月3日（日）午前9時の時点でインフルエンザ感染予防のために行う必要がある対策 で正しい組み合わせはどれか。
a．12月1日（金）から12月2日（土）にF看護"
19,第19回,27,False,False,,12月4日の時点でE病棟の患者に対して行う必要があるインフルエンザ感染予防策で正しいのはどれか。
19,第19回,28,False,False,選択肢に長文混入 / 表・図・計算確認,結局Ｅ病棟では、2010年12月1日（金）から14日（木）までに18例のILI症例が発症しました。あなたはILI症例のうちインフルエンザ迅速診断検査またはRT-
19,第19回,29,False,False,,患者に対して速やかに実施する必要がある感染予防策で、正しい組み合わせはどれか。
19,第19回,30,False,False,,"あなたは、I病院における人工呼吸器関連肺炎(VAP)予防策を見直すことにしました。VAPの予防効果が期待される改善策の組み合わせはどれか。
人工呼吸器回路は定期"
19,第19回,31,False,False,,あなたは、I病棟における中心静脈カテーテル由来血流感染（CRBSI）予防策を見直すことにしました。CRBSIの予防効果が期待される改善策はどれか。 中心静脈カテ
